,title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature,original_df,kmean_cluster,db_cluster
0,Abere izate ukatua,Su ta gar,4tMbI2qkOIfc1kzsbw7X64,0.393,0.967,10.0,-5.775,0.0,0.0511,1e-05,0.0013,0.147,0.469,98.016,audio_features,4tMbI2qkOIfc1kzsbw7X64,spotify:track:4tMbI2qkOIfc1kzsbw7X64,https://api.spotify.com/v1/tracks/4tMbI2qkOIfc1kzsbw7X64,https://api.spotify.com/v1/audio-analysis/4tMbI2qkOIfc1kzsbw7X64,243973.0,4.0,not_hot,1,0
1,Viva Forever (Tony Rich Remix Instrumental),Spice Girls,1dehm5fgmBVxxur0YnZLMq,0.809,0.478,10.0,-7.371,0.0,0.187,0.0106,0.861,0.125,0.594,168.897,audio_features,1dehm5fgmBVxxur0YnZLMq,spotify:track:1dehm5fgmBVxxur0YnZLMq,https://api.spotify.com/v1/tracks/1dehm5fgmBVxxur0YnZLMq,https://api.spotify.com/v1/audio-analysis/1dehm5fgmBVxxur0YnZLMq,342733.0,4.0,not_hot,6,1
2,Think About That,Dandy Livingstone,5vWscUwJJSsIvKR0YJa8cV,0.759,0.654,0.0,-8.462,1.0,0.0523,0.134,0.234,0.113,0.664,95.544,audio_features,5vWscUwJJSsIvKR0YJa8cV,spotify:track:5vWscUwJJSsIvKR0YJa8cV,https://api.spotify.com/v1/tracks/5vWscUwJJSsIvKR0YJa8cV,https://api.spotify.com/v1/audio-analysis/5vWscUwJJSsIvKR0YJa8cV,172947.0,4.0,not_hot,3,0
3,That Groovy Shingaling,Orquesta Harlow,2kTZKa7J0ykBpmzs5TMjWT,0.454,0.481,10.0,-10.895,1.0,0.0318,0.708,0.254,0.158,0.757,122.281,audio_features,2kTZKa7J0ykBpmzs5TMjWT,spotify:track:2kTZKa7J0ykBpmzs5TMjWT,https://api.spotify.com/v1/tracks/2kTZKa7J0ykBpmzs5TMjWT,https://api.spotify.com/v1/audio-analysis/2kTZKa7J0ykBpmzs5TMjWT,135187.0,4.0,not_hot,2,0
4,Take It Off,King B.A.V.,77ihANWN9MuLGim3ZtYIti,0.706,0.58,7.0,-3.692,0.0,0.0423,0.000473,0.0,0.256,0.115,75.102,audio_features,77ihANWN9MuLGim3ZtYIti,spotify:track:77ihANWN9MuLGim3ZtYIti,https://api.spotify.com/v1/tracks/77ihANWN9MuLGim3ZtYIti,https://api.spotify.com/v1/audio-analysis/77ihANWN9MuLGim3ZtYIti,244827.0,4.0,not_hot,1,-1
5,Can You Relate,Samuel L Session,2gF7ec0GjxCMVtQc9w5W0L,0.802,0.67,10.0,-8.202,0.0,0.0747,9.23e-05,0.886,0.0598,0.377,125.994,audio_features,2gF7ec0GjxCMVtQc9w5W0L,spotify:track:2gF7ec0GjxCMVtQc9w5W0L,https://api.spotify.com/v1/tracks/2gF7ec0GjxCMVtQc9w5W0L,https://api.spotify.com/v1/audio-analysis/2gF7ec0GjxCMVtQc9w5W0L,397500.0,4.0,not_hot,6,0
8,This One's For You,Nazz,39fell9Pj2v5CZ7nirN0Ax,0.584,0.291,7.0,-12.45,1.0,0.028,0.822,0.000372,0.0799,0.17,105.074,audio_features,39fell9Pj2v5CZ7nirN0Ax,spotify:track:39fell9Pj2v5CZ7nirN0Ax,https://api.spotify.com/v1/tracks/39fell9Pj2v5CZ7nirN0Ax,https://api.spotify.com/v1/audio-analysis/39fell9Pj2v5CZ7nirN0Ax,296707.0,4.0,not_hot,7,0
9,I Only Have Eyes for You,Coleman Hawkins,4K3sDOXP4kdqCyS91q0buz,0.654,0.351,0.0,-13.875,1.0,0.0469,0.976,0.808,0.14,0.834,94.568,audio_features,4K3sDOXP4kdqCyS91q0buz,spotify:track:4K3sDOXP4kdqCyS91q0buz,https://api.spotify.com/v1/tracks/4K3sDOXP4kdqCyS91q0buz,https://api.spotify.com/v1/audio-analysis/4K3sDOXP4kdqCyS91q0buz,189693.0,4.0,not_hot,10,0
12,Prajedes Felix,Chalino Sanchez,1u2zuqcikdm9WCRb2hfjtt,0.44,0.519,3.0,-8.545,1.0,0.0609,0.484,4.01e-06,0.0955,0.897,190.477,audio_features,1u2zuqcikdm9WCRb2hfjtt,spotify:track:1u2zuqcikdm9WCRb2hfjtt,https://api.spotify.com/v1/tracks/1u2zuqcikdm9WCRb2hfjtt,https://api.spotify.com/v1/audio-analysis/1u2zuqcikdm9WCRb2hfjtt,270536.0,3.0,not_hot,5,-1
13,I Don't Paint Myself Into Corners,Rebecca Lynn Howard,3uMBzNud2yVcNswnG5KVbb,0.53,0.448,7.0,-6.187,1.0,0.0285,0.257,0.0,0.075,0.233,128.626,audio_features,3uMBzNud2yVcNswnG5KVbb,spotify:track:3uMBzNud2yVcNswnG5KVbb,https://api.spotify.com/v1/tracks/3uMBzNud2yVcNswnG5KVbb,https://api.spotify.com/v1/audio-analysis/3uMBzNud2yVcNswnG5KVbb,299560.0,4.0,not_hot,1,0
14,Lube Job,Drunk Horse,1iUVpDKUIEyhxXEfAFgofj,0.413,0.798,9.0,-5.684,1.0,0.0839,0.0116,1.3e-05,0.0694,0.659,117.759,audio_features,1iUVpDKUIEyhxXEfAFgofj,spotify:track:1iUVpDKUIEyhxXEfAFgofj,https://api.spotify.com/v1/tracks/1iUVpDKUIEyhxXEfAFgofj,https://api.spotify.com/v1/audio-analysis/1iUVpDKUIEyhxXEfAFgofj,255933.0,4.0,not_hot,1,0
15,This Is Real,Oleta Adams,6jfKI6FNtYbPwOvuGnun6H,0.538,0.607,6.0,-9.06,1.0,0.0416,0.196,0.0,0.0658,0.498,173.698,audio_features,6jfKI6FNtYbPwOvuGnun6H,spotify:track:6jfKI6FNtYbPwOvuGnun6H,https://api.spotify.com/v1/tracks/6jfKI6FNtYbPwOvuGnun6H,https://api.spotify.com/v1/audio-analysis/6jfKI6FNtYbPwOvuGnun6H,301960.0,4.0,not_hot,13,1
18,Hooray For The Birthday Today,Susan McRae,64jRWEb57db633bYIXy6yK,0.971,0.444,6.0,-12.411,1.0,0.0629,0.0759,0.0,0.0743,0.6,115.082,audio_features,64jRWEb57db633bYIXy6yK,spotify:track:64jRWEb57db633bYIXy6yK,https://api.spotify.com/v1/tracks/64jRWEb57db633bYIXy6yK,https://api.spotify.com/v1/audio-analysis/64jRWEb57db633bYIXy6yK,112333.0,4.0,not_hot,3,0
20,Corazón De Cristal,Jorge Drexler,0T5qABWOBtr9qbTTx54PSG,0.686,0.212,7.0,-16.961,1.0,0.0495,0.791,5.73e-05,0.288,0.189,134.12,audio_features,0T5qABWOBtr9qbTTx54PSG,spotify:track:0T5qABWOBtr9qbTTx54PSG,https://api.spotify.com/v1/tracks/0T5qABWOBtr9qbTTx54PSG,https://api.spotify.com/v1/audio-analysis/0T5qABWOBtr9qbTTx54PSG,253293.0,4.0,not_hot,0,-1
21,Cowboy Casanova (Karaoke),Carrie Underwood,1B1EAhW5ItdJq8XkFSqKxD,0.578,0.797,5.0,-3.451,1.0,0.0398,0.00151,0.0506,0.086,0.456,120.005,audio_features,1B1EAhW5ItdJq8XkFSqKxD,spotify:track:1B1EAhW5ItdJq8XkFSqKxD,https://api.spotify.com/v1/tracks/1B1EAhW5ItdJq8XkFSqKxD,https://api.spotify.com/v1/audio-analysis/1B1EAhW5ItdJq8XkFSqKxD,237453.0,4.0,not_hot,1,0
22,Don't Tell Him What Happened To Me,Ruth Etting,6mHfm2CzmzQXhrn6z5lC4h,0.42,0.0532,8.0,-16.605,1.0,0.0567,0.989,0.0,0.133,0.194,76.815,audio_features,6mHfm2CzmzQXhrn6z5lC4h,spotify:track:6mHfm2CzmzQXhrn6z5lC4h,https://api.spotify.com/v1/tracks/6mHfm2CzmzQXhrn6z5lC4h,https://api.spotify.com/v1/audio-analysis/6mHfm2CzmzQXhrn6z5lC4h,200008.0,3.0,not_hot,7,-1
23,The Gig,Herbie Nichols,5AuXlCST2pvkaLLC7zKioJ,0.521,0.428,4.0,-12.551,1.0,0.0301,0.858,0.48,0.177,0.447,123.575,audio_features,5AuXlCST2pvkaLLC7zKioJ,spotify:track:5AuXlCST2pvkaLLC7zKioJ,https://api.spotify.com/v1/tracks/5AuXlCST2pvkaLLC7zKioJ,https://api.spotify.com/v1/audio-analysis/5AuXlCST2pvkaLLC7zKioJ,264280.0,4.0,not_hot,10,0
24,Ná De Ná,Beatriz Luengo,1ZfTpp1U3oyarjE6BJRWqm,0.66,0.633,10.0,-4.284,1.0,0.0685,0.699,0.0,0.0977,0.694,78.007,audio_features,1ZfTpp1U3oyarjE6BJRWqm,spotify:track:1ZfTpp1U3oyarjE6BJRWqm,https://api.spotify.com/v1/tracks/1ZfTpp1U3oyarjE6BJRWqm,https://api.spotify.com/v1/audio-analysis/1ZfTpp1U3oyarjE6BJRWqm,210627.0,4.0,not_hot,3,0
25,Cocksure,High Strung_ The,7Knqa6m7ubYNZxbGi2MoNz,0.377,0.931,9.0,-4.58,1.0,0.0847,0.0015,0.0059,0.0683,0.756,159.221,audio_features,7Knqa6m7ubYNZxbGi2MoNz,spotify:track:7Knqa6m7ubYNZxbGi2MoNz,https://api.spotify.com/v1/tracks/7Knqa6m7ubYNZxbGi2MoNz,https://api.spotify.com/v1/audio-analysis/7Knqa6m7ubYNZxbGi2MoNz,114667.0,4.0,not_hot,13,2
27,Ella Es Mi Gloria,Banda La Bocana,6TIBnxC07R3Hk9K3P1Sfjl,0.731,0.722,9.0,-8.553,1.0,0.0506,0.294,8.59e-05,0.157,0.547,104.555,audio_features,6TIBnxC07R3Hk9K3P1Sfjl,spotify:track:6TIBnxC07R3Hk9K3P1Sfjl,https://api.spotify.com/v1/tracks/6TIBnxC07R3Hk9K3P1Sfjl,https://api.spotify.com/v1/audio-analysis/6TIBnxC07R3Hk9K3P1Sfjl,196867.0,4.0,not_hot,3,0
30,The Great Flood,Joe Bonamassa,2vFttQeJnoYS3U5pe6B6Ep,0.303,0.405,7.0,-11.078,0.0,0.0352,0.111,0.487,0.873,0.425,126.669,audio_features,2vFttQeJnoYS3U5pe6B6Ep,spotify:track:2vFttQeJnoYS3U5pe6B6Ep,https://api.spotify.com/v1/tracks/2vFttQeJnoYS3U5pe6B6Ep,https://api.spotify.com/v1/audio-analysis/2vFttQeJnoYS3U5pe6B6Ep,472507.0,3.0,not_hot,11,0
31,Last Night (The Nightingale Song),RONNIE RONALDE,2ewRRNmiue3AZrojpfQZ4w,0.348,0.237,7.0,-12.188,1.0,0.0346,0.982,6.94e-05,0.325,0.255,95.859,audio_features,2ewRRNmiue3AZrojpfQZ4w,spotify:track:2ewRRNmiue3AZrojpfQZ4w,https://api.spotify.com/v1/tracks/2ewRRNmiue3AZrojpfQZ4w,https://api.spotify.com/v1/audio-analysis/2ewRRNmiue3AZrojpfQZ4w,195893.0,3.0,not_hot,7,0
33,Raid The Itch,Ogris Debris,0rX1eAEg4RROzzMb83NRNW,0.795,0.566,1.0,-12.113,1.0,0.105,0.0735,0.659,0.0493,0.313,126.01,audio_features,0rX1eAEg4RROzzMb83NRNW,spotify:track:0rX1eAEg4RROzzMb83NRNW,https://api.spotify.com/v1/tracks/0rX1eAEg4RROzzMb83NRNW,https://api.spotify.com/v1/audio-analysis/0rX1eAEg4RROzzMb83NRNW,535653.0,4.0,not_hot,6,0
35,Oxygen Dog,Meteors,4GdbIZwET0MAfa4SfAJe0n,0.49,0.79,5.0,-12.628,1.0,0.0386,0.00268,0.735,0.388,0.648,95.96,audio_features,4GdbIZwET0MAfa4SfAJe0n,spotify:track:4GdbIZwET0MAfa4SfAJe0n,https://api.spotify.com/v1/tracks/4GdbIZwET0MAfa4SfAJe0n,https://api.spotify.com/v1/audio-analysis/4GdbIZwET0MAfa4SfAJe0n,228067.0,4.0,not_hot,6,0
37,Kupa Kizi Ve Sinek Valesi (Radyo Miks),Teoman,2GxkWa63ktxhqkPouzya9R,0.693,0.623,8.0,-10.916,0.0,0.0505,0.259,2.86e-06,0.155,0.675,101.984,audio_features,2GxkWa63ktxhqkPouzya9R,spotify:track:2GxkWa63ktxhqkPouzya9R,https://api.spotify.com/v1/tracks/2GxkWa63ktxhqkPouzya9R,https://api.spotify.com/v1/audio-analysis/2GxkWa63ktxhqkPouzya9R,251467.0,4.0,not_hot,3,0
39,Sunday Bloody Sunday,Ba Cissoko,5AMRZo2Ebar0HyXir73ENP,0.701,0.797,1.0,-9.569,1.0,0.038,0.159,0.00159,0.0743,0.604,110.058,audio_features,5AMRZo2Ebar0HyXir73ENP,spotify:track:5AMRZo2Ebar0HyXir73ENP,https://api.spotify.com/v1/tracks/5AMRZo2Ebar0HyXir73ENP,https://api.spotify.com/v1/audio-analysis/5AMRZo2Ebar0HyXir73ENP,257427.0,4.0,not_hot,3,0
40,Miner's Refrain,Gillian Welch,7nDD3YfMM9ReQMfCxHcfmC,0.431,0.102,3.0,-12.723,1.0,0.0336,0.969,0.000228,0.109,0.228,179.937,audio_features,7nDD3YfMM9ReQMfCxHcfmC,spotify:track:7nDD3YfMM9ReQMfCxHcfmC,https://api.spotify.com/v1/tracks/7nDD3YfMM9ReQMfCxHcfmC,https://api.spotify.com/v1/audio-analysis/7nDD3YfMM9ReQMfCxHcfmC,237000.0,4.0,not_hot,0,-1
41,The Sound,Orson,5o3klij2Cwj2bTxMhjLl7a,0.908,0.92,8.0,-5.044,1.0,0.251,0.000394,0.31,0.541,0.658,124.997,audio_features,5o3klij2Cwj2bTxMhjLl7a,spotify:track:5o3klij2Cwj2bTxMhjLl7a,https://api.spotify.com/v1/tracks/5o3klij2Cwj2bTxMhjLl7a,https://api.spotify.com/v1/audio-analysis/5o3klij2Cwj2bTxMhjLl7a,314880.0,4.0,not_hot,8,0
43,What 'cha Wanna Do Tonight,Michael Stanley Band,6HHqR314caCTDRGQNo4SgR,0.603,0.608,7.0,-10.959,1.0,0.0365,0.405,2.46e-05,0.144,0.966,156.792,audio_features,6HHqR314caCTDRGQNo4SgR,spotify:track:6HHqR314caCTDRGQNo4SgR,https://api.spotify.com/v1/tracks/6HHqR314caCTDRGQNo4SgR,https://api.spotify.com/v1/audio-analysis/6HHqR314caCTDRGQNo4SgR,199093.0,4.0,not_hot,5,-1
44,Headhunters,DJ Deeon,0ZJhLXbuNo5LYptPjtEmoX,0.857,0.612,3.0,-10.031,0.0,0.272,0.0506,8.28e-05,0.118,0.666,153.272,audio_features,0ZJhLXbuNo5LYptPjtEmoX,spotify:track:0ZJhLXbuNo5LYptPjtEmoX,https://api.spotify.com/v1/tracks/0ZJhLXbuNo5LYptPjtEmoX,https://api.spotify.com/v1/audio-analysis/0ZJhLXbuNo5LYptPjtEmoX,229721.0,4.0,not_hot,8,-1
45,Walkin' in the sun,Janiva Magness,22rGNqXS9VBLo8quYTfNY3,0.612,0.829,7.0,-4.937,1.0,0.05,0.354,0.0,0.116,0.749,152.098,audio_features,22rGNqXS9VBLo8quYTfNY3,spotify:track:22rGNqXS9VBLo8quYTfNY3,https://api.spotify.com/v1/tracks/22rGNqXS9VBLo8quYTfNY3,https://api.spotify.com/v1/audio-analysis/22rGNqXS9VBLo8quYTfNY3,235893.0,4.0,not_hot,5,0
46,Tonight,Open Season,4NvNmCmfljcwFKMsmwRdd1,0.676,0.867,3.0,-7.987,1.0,0.201,0.0605,2.56e-05,0.976,0.884,113.368,audio_features,4NvNmCmfljcwFKMsmwRdd1,spotify:track:4NvNmCmfljcwFKMsmwRdd1,https://api.spotify.com/v1/tracks/4NvNmCmfljcwFKMsmwRdd1,https://api.spotify.com/v1/audio-analysis/4NvNmCmfljcwFKMsmwRdd1,172387.0,4.0,not_hot,11,0
47,Into You Like A Train,The Psychedelic Furs,1ArJ1Lz2mC09wQRAGkDqOT,0.29,0.969,7.0,-6.508,1.0,0.153,5.28e-05,0.237,0.534,0.14,156.665,audio_features,1ArJ1Lz2mC09wQRAGkDqOT,spotify:track:1ArJ1Lz2mC09wQRAGkDqOT,https://api.spotify.com/v1/tracks/1ArJ1Lz2mC09wQRAGkDqOT,https://api.spotify.com/v1/audio-analysis/1ArJ1Lz2mC09wQRAGkDqOT,275333.0,4.0,not_hot,13,2
48,The Industry's New Problem (skit),Messy Marv,6ZH6CoThAJ0HqCopJR8Xv4,0.738,0.612,1.0,-10.735,1.0,0.831,0.847,0.0,0.774,0.822,85.273,audio_features,6ZH6CoThAJ0HqCopJR8Xv4,spotify:track:6ZH6CoThAJ0HqCopJR8Xv4,https://api.spotify.com/v1/tracks/6ZH6CoThAJ0HqCopJR8Xv4,https://api.spotify.com/v1/audio-analysis/6ZH6CoThAJ0HqCopJR8Xv4,50293.0,3.0,not_hot,9,0
50,Canción de madre,Carmen Linares,0RfSAQOGfYDd9XPObPc3yD,0.448,0.384,10.0,-10.553,1.0,0.215,0.941,1.24e-06,0.0942,0.208,89.85,audio_features,0RfSAQOGfYDd9XPObPc3yD,spotify:track:0RfSAQOGfYDd9XPObPc3yD,https://api.spotify.com/v1/tracks/0RfSAQOGfYDd9XPObPc3yD,https://api.spotify.com/v1/audio-analysis/0RfSAQOGfYDd9XPObPc3yD,271040.0,3.0,not_hot,7,0
52,For All The Cows,Foo Fighters,6CbeOOrDFQuY1tXYscKqZQ,0.366,0.542,4.0,-9.655,1.0,0.0344,0.0323,0.00262,0.237,0.513,124.631,audio_features,6CbeOOrDFQuY1tXYscKqZQ,spotify:track:6CbeOOrDFQuY1tXYscKqZQ,https://api.spotify.com/v1/tracks/6CbeOOrDFQuY1tXYscKqZQ,https://api.spotify.com/v1/audio-analysis/6CbeOOrDFQuY1tXYscKqZQ,209240.0,4.0,not_hot,1,0
53,The Weekend 2009,Tango & Cash,0WZjEnCiMmC1Qikga4yytV,0.832,0.896,10.0,-9.005,0.0,0.0793,0.00186,0.896,0.374,0.396,128.006,audio_features,0WZjEnCiMmC1Qikga4yytV,spotify:track:0WZjEnCiMmC1Qikga4yytV,https://api.spotify.com/v1/tracks/0WZjEnCiMmC1Qikga4yytV,https://api.spotify.com/v1/audio-analysis/0WZjEnCiMmC1Qikga4yytV,275625.0,4.0,not_hot,6,0
54,Light on Your Feet,Dag För Dag,3tSqLR8zLlne15mkT2fCq9,0.224,0.547,2.0,-6.972,0.0,0.0368,0.0615,4.8e-05,0.172,0.0543,117.328,audio_features,3tSqLR8zLlne15mkT2fCq9,spotify:track:3tSqLR8zLlne15mkT2fCq9,https://api.spotify.com/v1/tracks/3tSqLR8zLlne15mkT2fCq9,https://api.spotify.com/v1/audio-analysis/3tSqLR8zLlne15mkT2fCq9,275240.0,4.0,not_hot,1,0
55,Athens To Athens,Joe Bonamassa,05sxtxm0h53Q8ZR1rWoJJC,0.536,0.921,2.0,-5.214,1.0,0.0472,0.203,0.64,0.77,0.295,114.631,audio_features,05sxtxm0h53Q8ZR1rWoJJC,spotify:track:05sxtxm0h53Q8ZR1rWoJJC,https://api.spotify.com/v1/tracks/05sxtxm0h53Q8ZR1rWoJJC,https://api.spotify.com/v1/audio-analysis/05sxtxm0h53Q8ZR1rWoJJC,345080.0,4.0,not_hot,11,0
56,Anywhere You're Gonna Be (Leba's Song),Neil Sedaka,5u0TnKsQHhEvEtAtZXsTdo,0.471,0.293,5.0,-10.648,1.0,0.0342,0.81,0.0,0.13,0.452,128.126,audio_features,5u0TnKsQHhEvEtAtZXsTdo,spotify:track:5u0TnKsQHhEvEtAtZXsTdo,https://api.spotify.com/v1/tracks/5u0TnKsQHhEvEtAtZXsTdo,https://api.spotify.com/v1/audio-analysis/5u0TnKsQHhEvEtAtZXsTdo,215533.0,4.0,not_hot,0,0
58,What Matters Most (What Matters Most Album Version),Cheri Keaggy,2VlIgmWsh8jZrdNqsnLsqF,0.475,0.343,1.0,-11.753,1.0,0.0278,0.35,2.53e-06,0.143,0.211,156.984,audio_features,2VlIgmWsh8jZrdNqsnLsqF,spotify:track:2VlIgmWsh8jZrdNqsnLsqF,https://api.spotify.com/v1/tracks/2VlIgmWsh8jZrdNqsnLsqF,https://api.spotify.com/v1/audio-analysis/2VlIgmWsh8jZrdNqsnLsqF,299560.0,3.0,not_hot,0,-1
59,Mary,The Maccabees,76R0VjTQYripNZsaYfDEA1,0.304,0.751,4.0,-4.617,1.0,0.0452,0.0439,6.03e-05,0.104,0.228,172.017,audio_features,76R0VjTQYripNZsaYfDEA1,spotify:track:76R0VjTQYripNZsaYfDEA1,https://api.spotify.com/v1/tracks/76R0VjTQYripNZsaYfDEA1,https://api.spotify.com/v1/audio-analysis/76R0VjTQYripNZsaYfDEA1,210667.0,4.0,not_hot,13,1
60,Cancel,Tito Rodriguez,0i5TC274Fs3HN6poVu9NyN,0.604,0.436,5.0,-12.471,1.0,0.0515,0.831,0.382,0.0425,0.962,91.848,audio_features,0i5TC274Fs3HN6poVu9NyN,spotify:track:0i5TC274Fs3HN6poVu9NyN,https://api.spotify.com/v1/tracks/0i5TC274Fs3HN6poVu9NyN,https://api.spotify.com/v1/audio-analysis/0i5TC274Fs3HN6poVu9NyN,306467.0,4.0,not_hot,2,0
61,Descension,Ozric Tentacles,6T9fce1hX3QdhR06KH3kjb,0.399,0.342,9.0,-15.88,0.0,0.0291,0.011,0.366,0.0929,0.362,130.579,audio_features,6T9fce1hX3QdhR06KH3kjb,spotify:track:6T9fce1hX3QdhR06KH3kjb,https://api.spotify.com/v1/tracks/6T9fce1hX3QdhR06KH3kjb,https://api.spotify.com/v1/audio-analysis/6T9fce1hX3QdhR06KH3kjb,302573.0,4.0,not_hot,0,0
62,Frostman,Drexel,2POBTfsoazXRhc6X15fTpx,0.407,0.769,4.0,-7.34,0.0,0.0423,0.145,0.0,0.0893,0.318,77.067,audio_features,2POBTfsoazXRhc6X15fTpx,spotify:track:2POBTfsoazXRhc6X15fTpx,https://api.spotify.com/v1/tracks/2POBTfsoazXRhc6X15fTpx,https://api.spotify.com/v1/audio-analysis/2POBTfsoazXRhc6X15fTpx,255800.0,4.0,not_hot,1,0
63,Circle Driveway,Gene Watson,5BeBFZNYyyokrbyyt89B6J,0.61,0.436,0.0,-14.134,1.0,0.03,0.461,1.37e-05,0.0945,0.643,86.331,audio_features,5BeBFZNYyyokrbyyt89B6J,spotify:track:5BeBFZNYyyokrbyyt89B6J,https://api.spotify.com/v1/tracks/5BeBFZNYyyokrbyyt89B6J,https://api.spotify.com/v1/audio-analysis/5BeBFZNYyyokrbyyt89B6J,147293.0,4.0,not_hot,2,0
64,Back To Life,Giovanni Allevi,44KwqkiVvNeRiU582ZWviX,0.453,0.148,9.0,-23.189,1.0,0.0509,0.989,0.914,0.131,0.0705,82.975,audio_features,44KwqkiVvNeRiU582ZWviX,spotify:track:44KwqkiVvNeRiU582ZWviX,https://api.spotify.com/v1/tracks/44KwqkiVvNeRiU582ZWviX,https://api.spotify.com/v1/audio-analysis/44KwqkiVvNeRiU582ZWviX,278133.0,4.0,not_hot,4,-1
65,[Aleph] Let The Dead Bury Their Dead_ You Go Preach The Kingdom Of God,Soul-Junk,2g4gEGHJQtdkxjUsPJo2IM,0.179,0.697,11.0,-7.456,0.0,0.0554,0.0113,0.000189,0.119,0.204,101.967,audio_features,2g4gEGHJQtdkxjUsPJo2IM,spotify:track:2g4gEGHJQtdkxjUsPJo2IM,https://api.spotify.com/v1/tracks/2g4gEGHJQtdkxjUsPJo2IM,https://api.spotify.com/v1/audio-analysis/2g4gEGHJQtdkxjUsPJo2IM,244547.0,4.0,not_hot,1,0
67,Ruby-Ha,Seefeel,7HEX5GIvNI4PwIB3NHDaGr,0.527,0.799,1.0,-10.969,1.0,0.0367,0.593,0.861,0.16,0.0496,139.942,audio_features,7HEX5GIvNI4PwIB3NHDaGr,spotify:track:7HEX5GIvNI4PwIB3NHDaGr,https://api.spotify.com/v1/tracks/7HEX5GIvNI4PwIB3NHDaGr,https://api.spotify.com/v1/audio-analysis/7HEX5GIvNI4PwIB3NHDaGr,368867.0,4.0,not_hot,12,0
68,Lady Of The Moon,2002,1JxJ1r6XN1GfqXXBk6GKsI,0.264,0.192,5.0,-19.306,1.0,0.0351,0.944,0.963,0.122,0.0908,128.464,audio_features,1JxJ1r6XN1GfqXXBk6GKsI,spotify:track:1JxJ1r6XN1GfqXXBk6GKsI,https://api.spotify.com/v1/tracks/1JxJ1r6XN1GfqXXBk6GKsI,https://api.spotify.com/v1/audio-analysis/1JxJ1r6XN1GfqXXBk6GKsI,290227.0,4.0,not_hot,4,-1
69,Ja-Da,The Fireballs,3sdqFQCDIHYItyqZ3X1Y98,0.754,0.749,1.0,-7.976,0.0,0.0502,0.217,0.00111,0.0451,0.763,121.996,audio_features,3sdqFQCDIHYItyqZ3X1Y98,spotify:track:3sdqFQCDIHYItyqZ3X1Y98,https://api.spotify.com/v1/tracks/3sdqFQCDIHYItyqZ3X1Y98,https://api.spotify.com/v1/audio-analysis/3sdqFQCDIHYItyqZ3X1Y98,118973.0,4.0,not_hot,3,0
71,Still Be Around,Uncle Tupelo,6RvqfG9zOWDNQSoBUxSvsX,0.434,0.38,4.0,-10.801,1.0,0.0299,0.808,2.46e-05,0.342,0.355,112.845,audio_features,6RvqfG9zOWDNQSoBUxSvsX,spotify:track:6RvqfG9zOWDNQSoBUxSvsX,https://api.spotify.com/v1/tracks/6RvqfG9zOWDNQSoBUxSvsX,https://api.spotify.com/v1/audio-analysis/6RvqfG9zOWDNQSoBUxSvsX,164307.0,4.0,not_hot,7,0
72,Tower 18,The Cheifs,5AWhOvugCIq48J8pXqVcxI,0.364,0.953,9.0,-3.243,1.0,0.0669,0.000196,0.762,0.0666,0.646,107.314,audio_features,5AWhOvugCIq48J8pXqVcxI,spotify:track:5AWhOvugCIq48J8pXqVcxI,https://api.spotify.com/v1/tracks/5AWhOvugCIq48J8pXqVcxI,https://api.spotify.com/v1/audio-analysis/5AWhOvugCIq48J8pXqVcxI,123827.0,4.0,not_hot,12,0
73,Rame Ambe Maa,Falguni Pathak,6MIVGWgPEcmB8Qzs9sMZYu,0.427,0.566,7.0,-9.109,1.0,0.046,0.36,7.35e-05,0.0888,0.374,77.484,audio_features,6MIVGWgPEcmB8Qzs9sMZYu,spotify:track:6MIVGWgPEcmB8Qzs9sMZYu,https://api.spotify.com/v1/tracks/6MIVGWgPEcmB8Qzs9sMZYu,https://api.spotify.com/v1/audio-analysis/6MIVGWgPEcmB8Qzs9sMZYu,165000.0,4.0,not_hot,1,0
75,No Brakes,John Waite,0QTH0wSCU3OPedkgE42NmO,0.449,0.974,9.0,-6.25,1.0,0.0846,0.00409,0.134,0.169,0.505,144.786,audio_features,0QTH0wSCU3OPedkgE42NmO,spotify:track:0QTH0wSCU3OPedkgE42NmO,https://api.spotify.com/v1/tracks/0QTH0wSCU3OPedkgE42NmO,https://api.spotify.com/v1/audio-analysis/0QTH0wSCU3OPedkgE42NmO,196240.0,4.0,not_hot,13,0
76,Tubby Mechanical Friend,Mr. Scruff,4ITSnnthgopYwAKTVcbbtL,0.749,0.566,7.0,-9.8,1.0,0.0973,0.00121,0.905,0.132,0.617,171.478,audio_features,4ITSnnthgopYwAKTVcbbtL,spotify:track:4ITSnnthgopYwAKTVcbbtL,https://api.spotify.com/v1/tracks/4ITSnnthgopYwAKTVcbbtL,https://api.spotify.com/v1/audio-analysis/4ITSnnthgopYwAKTVcbbtL,361427.0,4.0,not_hot,6,1
