,title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature,original_df,kmean_cluster,db_cluster
4490,Prison,Fluttr Effect,5qkwR3WyyExuQtyXCWca8G,0.29,0.445,0.0,-9.54,1.0,0.0416,0.192,0.749,0.0705,0.183,156.391,audio_features,5qkwR3WyyExuQtyXCWca8G,spotify:track:5qkwR3WyyExuQtyXCWca8G,https://api.spotify.com/v1/tracks/5qkwR3WyyExuQtyXCWca8G,https://api.spotify.com/v1/audio-analysis/5qkwR3WyyExuQtyXCWca8G,364987.0,4.0,not_hot,12,2
4491,Polizisten,Orange Sector,4uuD8d3CSwgVGFOiooSjDF,0.853,0.669,7.0,-7.616,1.0,0.042,0.00257,0.13,0.277,0.731,125.002,audio_features,4uuD8d3CSwgVGFOiooSjDF,spotify:track:4uuD8d3CSwgVGFOiooSjDF,https://api.spotify.com/v1/tracks/4uuD8d3CSwgVGFOiooSjDF,https://api.spotify.com/v1/audio-analysis/4uuD8d3CSwgVGFOiooSjDF,268560.0,4.0,not_hot,3,0
4492,Razon de vivir,Fondo Flamenco,5rqvCFj4l3iVb9IlVeHgGt,0.626,0.825,11.0,-5.742,0.0,0.226,0.486,0.0,0.0915,0.951,93.73,audio_features,5rqvCFj4l3iVb9IlVeHgGt,spotify:track:5rqvCFj4l3iVb9IlVeHgGt,https://api.spotify.com/v1/tracks/5rqvCFj4l3iVb9IlVeHgGt,https://api.spotify.com/v1/audio-analysis/5rqvCFj4l3iVb9IlVeHgGt,228853.0,3.0,not_hot,8,0
4493,Bigger Than Life,Julien Lourau,4Nme2uuGVPdP3LvMg3ead8,0.465,0.512,10.0,-9.112,0.0,0.0461,0.728,0.713,0.0984,0.406,83.352,audio_features,4Nme2uuGVPdP3LvMg3ead8,spotify:track:4Nme2uuGVPdP3LvMg3ead8,https://api.spotify.com/v1/tracks/4Nme2uuGVPdP3LvMg3ead8,https://api.spotify.com/v1/audio-analysis/4Nme2uuGVPdP3LvMg3ead8,271240.0,4.0,not_hot,10,0
4494,Reach Out,Midfield General,0u7PJNDonENtoVZm7MetQi,0.487,0.468,0.0,-6.557,1.0,0.0337,0.018,0.238,0.145,0.27,155.983,audio_features,0u7PJNDonENtoVZm7MetQi,spotify:track:0u7PJNDonENtoVZm7MetQi,https://api.spotify.com/v1/tracks/0u7PJNDonENtoVZm7MetQi,https://api.spotify.com/v1/audio-analysis/0u7PJNDonENtoVZm7MetQi,326800.0,4.0,not_hot,13,2
4495,Inside Outside,The Grates,3x4HseYv6Vh70FcCEC5j9f,0.726,0.741,11.0,-6.189,1.0,0.0481,0.0864,0.0,0.93,0.911,139.992,audio_features,3x4HseYv6Vh70FcCEC5j9f,spotify:track:3x4HseYv6Vh70FcCEC5j9f,https://api.spotify.com/v1/tracks/3x4HseYv6Vh70FcCEC5j9f,https://api.spotify.com/v1/audio-analysis/3x4HseYv6Vh70FcCEC5j9f,162013.0,4.0,not_hot,11,0
4496,Tickle Me,Melanii Diva,7wsfwucvoGoZbc4pUfT17e,0.935,0.471,7.0,-6.661,0.0,0.0586,0.122,0.000246,0.16,0.868,97.016,audio_features,7wsfwucvoGoZbc4pUfT17e,spotify:track:7wsfwucvoGoZbc4pUfT17e,https://api.spotify.com/v1/tracks/7wsfwucvoGoZbc4pUfT17e,https://api.spotify.com/v1/audio-analysis/7wsfwucvoGoZbc4pUfT17e,220053.0,4.0,not_hot,3,0
4499,The Look Of Love,Ronald Isley,4ODVQt6culh36eCg8TSnpJ,0.637,0.312,9.0,-15.086,0.0,0.0259,0.749,0.00154,0.0837,0.435,100.0,audio_features,4ODVQt6culh36eCg8TSnpJ,spotify:track:4ODVQt6culh36eCg8TSnpJ,https://api.spotify.com/v1/tracks/4ODVQt6culh36eCg8TSnpJ,https://api.spotify.com/v1/audio-analysis/4ODVQt6culh36eCg8TSnpJ,342893.0,4.0,not_hot,7,0
4500,This Is No Dream (Live),Misery Loves Co,7IZKe4xDhQMCa53wec0Xrc,0.475,0.884,1.0,-9.055,1.0,0.0661,9.62e-06,0.191,0.507,0.35,124.244,audio_features,7IZKe4xDhQMCa53wec0Xrc,spotify:track:7IZKe4xDhQMCa53wec0Xrc,https://api.spotify.com/v1/tracks/7IZKe4xDhQMCa53wec0Xrc,https://api.spotify.com/v1/audio-analysis/7IZKe4xDhQMCa53wec0Xrc,232667.0,4.0,not_hot,11,0
4501,Over The Fence,Citizen Fish,5XFfmRWuWjkdEwsReTMtEV,0.369,0.94,2.0,-5.144,1.0,0.114,0.000184,0.0,0.153,0.64,97.373,audio_features,5XFfmRWuWjkdEwsReTMtEV,spotify:track:5XFfmRWuWjkdEwsReTMtEV,https://api.spotify.com/v1/tracks/5XFfmRWuWjkdEwsReTMtEV,https://api.spotify.com/v1/audio-analysis/5XFfmRWuWjkdEwsReTMtEV,124800.0,4.0,not_hot,1,0
4503,Look Ma_ Two Hands,Jon Finn Group,5vkGdu6LOu2Hg9ZkLetY2N,0.303,0.452,2.0,-20.527,1.0,0.0566,0.794,0.188,0.139,0.749,157.263,audio_features,5vkGdu6LOu2Hg9ZkLetY2N,spotify:track:5vkGdu6LOu2Hg9ZkLetY2N,https://api.spotify.com/v1/tracks/5vkGdu6LOu2Hg9ZkLetY2N,https://api.spotify.com/v1/audio-analysis/5vkGdu6LOu2Hg9ZkLetY2N,38191.0,4.0,not_hot,0,-1
